Date,mysql,postgresql,sqlite,mongodb,mariadb,oracle,firebase,redis,elasticsearch,dynamodb,cassandra
2023-03-02,63,43,9,21,4,14,49,8,8,4,5
2023-03-03,43,46,7,49,5,23,75,8,25,8,2
2023-03-04,39,26,4,24,3,15,40,2,8,3,3
2023-03-05,24,25,8,14,2,7,26,4,2,2,
2023-03-06,25,14,3,13,2,5,15,4,6,5,1
2023-03-07,51,39,9,38,2,23,52,10,18,9,2
2023-03-08,46,50,11,40,4,23,58,18,5,5,2
2023-03-09,35,40,10,32,6,15,36,7,8,3,
2023-03-10,60,51,12,36,11,23,54,2,12,5,1
2023-03-11,38,25,5,18,3,7,46,1,3,3,1
2023-03-12,14,10,2,13,3,6,14,1,9,2,
2023-03-13,17,8,5,13,1,4,13,2,3,3,1
2023-03-14,41,31,7,23,5,20,28,5,12,2,2
2023-03-15,37,21,4,24,2,13,53,6,10,1,1
2023-03-16,58,53,8,47,9,20,52,13,14,1,1
2023-03-17,40,39,10,39,3,15,35,5,13,2,1
2023-03-18,46,34,6,42,6,21,35,5,9,3,3
2023-03-19,34,24,9,36,5,18,28,6,6,2,
2023-03-20,20,39,8,28,4,12,16,2,8,2,2
2023-03-21,46,31,7,47,3,18,53,7,14,3,2
2023-03-22,49,30,5,18,3,19,41,3,14,6,2
2023-03-23,59,33,12,40,7,16,50,7,15,4,4
2023-03-24,38.0,45.0,13.0,33.0,5.0,23.0,39.0,5.0,5.0,1.0,
2023-03-25,26,20,2,25,2,8,22,4,5,5,1
2023-03-26,22.0,10.0,4.0,12.0,2.0,3.0,13.0,6.0,,1.0,
2023-03-26,25.0,12.0,3.0,10.0,1.0,3.0,12.0,6.0,1.0,1.0,
