"Date","asp","angular","django","express","flask","laravel","react","ruby","spring","symfony","vue","jquery"
"2023-03-02","69","70","79","33","13","70","141","26","121","5","40","32"
"2023-03-03","63","82","79","23","13","54","105","30","152","5","33","36"
"2023-03-04","43","63","81","13","12","25","95","23","66","7","29","16"
"2023-03-05","13","11","47","10","3","13","25","6","39","","3","7"
"2023-03-06","21","19","28","5","3","14","35","9","69","4","9","5"
"2023-03-07","67","79","108","25","27","53","116","24","142","8","37","27"
"2023-03-08","69","69","98","25","19","51","110","17","157","7","35","15"
"2023-03-09","49","56","74","19","13","40","90","19","106","6","27","18"
"2023-03-10","88","83","61","26","14","50","115","25","144","6","25","41"
"2023-03-11","27","32","61","11","8","25","58","22","53","3","12","22"
"2023-03-12","34","22","50","14","12","31","60","16","42","4","16","12"
"2023-03-13","23","20","24","7","3","32","40","13","59","6","14","9"
"2023-03-14","64","64","56","22","10","49","93","13","125","6","31","24"
"2023-03-15","61","73","70","17","13","40","99","18","111","8","31","38"
"2023-03-16","90","85","112","27","12","53","132","30","135","9","34","23"
"2023-03-17","78","62","43","21","9","41","96","24","130","15","29","26"
"2023-03-18","55","40","64","25","13","40","99","22","116","7","32","23"
"2023-03-19","54","55","67","19","12","41","88","19","104","6","26","22"
"2023-03-20","54","38","38","8","10","30","82","8","84","6","12","16"
"2023-03-21","62","48","65","21","8","57","82","20","139","2","24","29"
2023-03-22,52,47,74,19,15,36,95,17,114,2,32,18
2023-03-23,49,63,58,17,21,46,110,20,126,7,27,34
2023-03-24,50,54,57,16,13,32,77,32,117,7,22,24
2023-03-25,33,25,55,12,13,28,59,16,64,7,18,14
2023-03-26,14,11,14,8,8,18,35,6,19,2,9,11
2023-03-26,11,13,18,11,12,12,35,6,21,1,9,9
